,t,T,process
4164,10.225000000001579,304.72999999999996,DoE2_R2
4165,10.233333333334912,304.72999999999996,DoE2_R2
4166,10.241666666668245,304.72999999999996,DoE2_R2
4167,10.250000000001585,304.72999999999996,DoE2_R2
4168,10.258333333334917,304.796,DoE2_R2
4169,10.26666666666825,304.796,DoE2_R2
4170,10.275000000001583,304.796,DoE2_R2
4171,10.283333333334916,304.796,DoE2_R2
4172,10.291666666668256,304.796,DoE2_R2
4173,10.299722222223814,304.796,DoE2_R2
4174,10.308333333334922,304.796,DoE2_R2
4175,10.316666666668262,304.796,DoE2_R2
4176,10.325000000001594,304.796,DoE2_R2
4177,10.333333333334927,304.837,DoE2_R2
4178,10.34166666666826,304.837,DoE2_R2
4179,10.350000000001593,304.837,DoE2_R2
4180,10.358333333334933,304.837,DoE2_R2
4181,10.366666666668266,304.837,DoE2_R2
4182,10.375000000001599,304.837,DoE2_R2
4183,10.383333333334939,304.837,DoE2_R2
4184,10.391666666668272,304.837,DoE2_R2
4185,10.400000000001604,304.837,DoE2_R2
4186,10.408333333334937,304.837,DoE2_R2
4187,10.41666666666827,304.837,DoE2_R2
4188,10.42500000000161,304.837,DoE2_R2
4189,10.433333333334943,304.837,DoE2_R2
4190,10.441666666668276,304.837,DoE2_R2
4191,10.450000000001616,304.837,DoE2_R2
4192,10.458333333334949,304.837,DoE2_R2
4193,10.466666666668281,304.837,DoE2_R2
4194,10.475000000001614,304.837,DoE2_R2
4195,10.483333333334947,304.837,DoE2_R2
4196,10.491666666668287,304.887,DoE2_R2
4197,10.50000000000162,304.887,DoE2_R2
4198,10.508333333334953,304.887,DoE2_R2
4199,10.516666666668293,304.887,DoE2_R2
4200,10.525000000001626,304.887,DoE2_R2
4201,10.533333333334959,304.953,DoE2_R2
4202,10.541666666668291,304.953,DoE2_R2
4203,10.550000000001624,304.953,DoE2_R2
4204,10.558333333334964,304.953,DoE2_R2
4205,10.566666666668297,305.03099999999995,DoE2_R2
4206,10.57500000000163,305.03099999999995,DoE2_R2
4207,10.58333333333497,305.03099999999995,DoE2_R2
4208,10.591666666668303,305.03099999999995,DoE2_R2
4209,10.600000000001636,305.03099999999995,DoE2_R2
4210,10.608333333334969,305.03099999999995,DoE2_R2
4211,10.616666666668301,305.03099999999995,DoE2_R2
4212,10.625000000001641,305.073,DoE2_R2
4213,10.633333333334974,305.073,DoE2_R2
4214,10.641666666668307,305.073,DoE2_R2
4215,10.650000000001647,305.073,DoE2_R2
4216,10.65833333333498,305.073,DoE2_R2
4217,10.666666666668313,305.073,DoE2_R2
4218,10.675000000001646,305.073,DoE2_R2
4219,10.683333333334978,305.073,DoE2_R2
4220,10.691666666668318,305.073,DoE2_R2
4221,10.700000000001651,305.142,DoE2_R2
4222,10.708333333334984,305.142,DoE2_R2
4223,10.716666666668324,305.142,DoE2_R2
4224,10.725000000001657,305.161,DoE2_R2
4225,10.73333333333499,305.161,DoE2_R2
4226,10.741666666668323,305.161,DoE2_R2
4227,10.750000000001656,305.20899999999995,DoE2_R2
4228,10.758333333334996,305.20899999999995,DoE2_R2
4229,10.766666666668328,305.20899999999995,DoE2_R2
4230,10.775000000001661,305.20899999999995,DoE2_R2
4231,10.783333333335001,305.268,DoE2_R2
4232,10.791666666668334,305.268,DoE2_R2
4233,10.800000000001667,305.268,DoE2_R2
4234,10.808333333335,305.328,DoE2_R2
4235,10.816666666668333,305.328,DoE2_R2
4236,10.825000000001673,305.328,DoE2_R2
4237,10.833333333335005,305.365,DoE2_R2
4238,10.841666666668338,305.365,DoE2_R2
4239,10.850000000001678,305.365,DoE2_R2
4240,10.858333333335011,305.365,DoE2_R2
4241,10.866666666668344,305.42199999999997,DoE2_R2
4242,10.875000000001677,305.42199999999997,DoE2_R2
4243,10.88333333333501,305.42199999999997,DoE2_R2
4244,10.89166666666835,305.42199999999997,DoE2_R2
4245,10.900000000001683,305.42199999999997,DoE2_R2
4246,10.908333333335015,305.42199999999997,DoE2_R2
4247,10.916666666668355,305.42199999999997,DoE2_R2
4248,10.925000000001688,305.42199999999997,DoE2_R2
4249,10.933333333335021,305.48699999999997,DoE2_R2
4250,10.941388888890579,305.48699999999997,DoE2_R2
4251,10.950000000001687,305.48699999999997,DoE2_R2
4252,10.958333333335027,305.55199999999996,DoE2_R2
4253,10.96666666666836,305.55199999999996,DoE2_R2
4254,10.975000000001693,305.55199999999996,DoE2_R2
4255,10.983333333335032,305.621,DoE2_R2
4256,10.991666666668365,305.621,DoE2_R2
4257,11.000000000001698,305.621,DoE2_R2
4258,11.008333333335031,305.621,DoE2_R2
4259,11.016666666668364,305.676,DoE2_R2
4260,11.025000000001704,305.676,DoE2_R2
